jour;h_sobh;min_sobh;att_sobh;h_dohr;min_dohr;att_dohr;h_asr;min_asr;att_asr;h_maghreb;min_maghreb;att_maghreb;h_icha;min_icha;att_icha;h_chourouk;min_chourouk
1;4;52;15;12;38;15;16;13;15;19;0;3;20;20;15;6;21
2;4;51;15;12;38;15;16;14;15;19;1;3;20;21;15;6;19
3;4;49;15;12;37;15;16;14;15;19;2;3;20;22;15;6;18
4;4;47;15;12;37;15;16;14;15;19;3;3;20;23;15;6;17
5;4;46;15;12;37;15;16;14;15;19;3;3;20;24;15;6;16
6;4;44;15;12;37;15;16;15;15;19;4;3;20;25;15;6;14
7;4;43;15;12;36;15;16;15;15;19;5;3;20;26;15;6;13
8;4;41;15;12;36;15;16;15;15;19;6;3;20;28;15;6;11
9;4;40;15;12;36;15;16;14;15;19;7;3;20;28;15;6;9
10;4;39;15;12;35;15;16;14;15;19;8;3;20;29;15;6;8
11;4;37;15;12;35;15;16;15;15;19;9;3;20;30;15;6;6
12;4;35;15;12;35;15;16;15;15;19;9;3;20;31;15;6;5
13;4;34;15;12;35;15;16;15;15;19;10;3;20;32;15;6;4
14;4;32;15;12;34;15;16;15;15;19;11;3;20;33;15;6;2
15;4;30;15;12;34;15;16;15;15;19;12;3;20;34;15;6;1
16;4;29;15;12;34;15;16;15;15;19;13;3;20;36;15;6;0
17;4;27;15;12;34;15;16;16;15;19;14;3;20;37;15;5;58
18;4;25;15;12;34;15;16;16;15;19;15;3;20;38;15;5;57
19;4;24;15;12;33;15;16;16;15;19;16;3;20;39;15;5;56
20;4;22;15;12;33;15;16;16;15;19;16;3;20;40;15;5;54
21;4;21;15;12;33;15;16;16;15;19;17;3;20;41;15;5;53
22;4;19;15;12;33;15;16;16;15;19;18;3;20;42;15;5;52
23;4;17;15;12;33;15;16;17;15;19;19;3;20;44;15;5;50
24;4;16;15;12;32;15;16;17;15;19;20;3;20;45;15;5;49
25;4;14;15;12;32;15;16;17;15;19;21;3;20;46;15;5;48
26;4;13;15;12;32;15;16;17;15;19;22;3;20;47;15;5;47
27;4;11;15;12;32;15;16;17;15;19;23;3;20;48;15;5;46
28;4;10;15;12;32;15;16;17;15;19;24;3;20;50;15;5;44
29;4;8;15;12;32;15;16;18;15;19;24;3;20;51;15;5;43
30;4;7;15;12;31;15;16;18;15;19;25;3;20;52;15;5;42
