jour;h_sobh;min_sobh;att_sobh;h_dohr;min_dohr;att_dohr;h_asr;min_asr;att_asr;h_maghreb;min_maghreb;att_maghreb;h_icha;min_icha;att_icha;h_chourouk;min_chourouk
1;4;5;15;12;31;15;16;18;15;19;26;3;20;53;15;5;41
2;4;4;15;12;31;15;16;18;15;19;27;3;20;55;15;5;40
3;4;2;15;12;31;15;16;18;15;19;28;3;20;56;15;5;39
4;4;1;15;12;31;15;16;18;15;19;29;3;20;57;15;5;38
5;3;59;15;12;31;15;16;18;15;19;30;3;20;58;15;5;37
6;3;58;15;12;31;15;16;19;15;19;31;3;20;59;15;5;36
7;3;57;15;12;31;15;16;19;15;19;31;3;21;1;10;5;35
8;3;56;15;12;31;15;16;19;15;19;31;3;21;2;10;5;34
9;3;55;15;12;31;15;16;19;15;19;32;3;21;3;10;5;33
10;3;53;15;12;31;15;16;19;15;19;33;3;21;4;10;5;32
11;3;52;15;12;31;15;16;19;15;19;34;3;21;6;10;5;31
12;3;51;15;12;31;15;16;20;15;19;35;3;21;7;10;5;30
13;3;50;15;12;31;15;16;20;15;19;36;3;21;8;10;5;29
14;3;48;15;12;31;15;16;20;15;19;36;3;21;9;10;5;28
15;3;47;15;12;31;15;16;20;15;19;37;3;21;10;10;5;28
16;3;46;15;12;31;15;16;20;15;19;38;3;21;12;10;5;27
17;3;45;15;12;31;15;16;20;15;19;39;3;21;13;10;5;26
18;3;44;15;12;31;15;16;21;15;19;40;3;21;14;10;5;25
19;3;43;15;12;31;15;16;21;15;19;40;3;21;15;10;5;25
20;3;41;15;12;31;15;16;21;15;19;41;3;21;16;10;5;24
21;3;40;15;12;31;15;16;21;15;19;42;3;21;17;10;5;23
22;3;39;15;12;31;15;16;21;15;19;43;3;21;18;10;5;23
23;3;38;15;12;31;15;16;21;15;19;44;3;21;20;10;5;22
24;3;37;15;12;31;15;16;22;15;19;44;3;21;21;10;5;21
25;3;37;15;12;31;15;16;22;15;19;45;3;21;22;10;5;21
26;3;36;15;12;31;15;16;22;15;19;46;3;21;23;10;5;20
27;3;35;15;12;31;15;16;22;15;19;46;3;21;24;10;5;20
28;3;34;15;12;32;15;16;22;15;19;47;3;21;25;10;5;19
29;3;33;15;12;32;15;16;23;15;19;48;3;21;26;10;5;19
30;3;32;15;12;32;15;16;23;15;19;49;3;21;27;10;5;19
31;3;32;15;12;32;15;16;23;15;19;49;3;21;28;10;5;18
