jour;h_sobh;min_sobh;att_sobh;h_dohr;min_dohr;att_dohr;h_asr;min_asr;att_asr;h_maghreb;min_maghreb;att_maghreb;h_icha;min_icha;att_icha;h_chourouk;min_chourouk
1;6;8;10;12;48;15;15;39;15;18;3;3;19;24;15;7;37
2;6;8;10;12;48;15;15;39;15;18;4;3;19;25;15;7;36
3;6;7;10;12;48;15;15;40;15;18;5;3;19;26;15;7;35
4;6;6;10;12;48;15;15;41;15;18;6;3;19;27;15;7;34
5;6;5;10;12;48;15;15;42;15;18;7;3;19;28;15;7;34
6;6;5;10;12;48;15;15;43;15;18;8;3;19;28;15;7;33
7;6;4;10;12;48;15;15;44;15;18;10;3;19;29;15;7;32
8;6;3;10;12;48;15;15;45;15;18;11;3;19;30;15;7;31
9;6;2;10;12;48;15;15;46;15;18;12;3;19;31;15;7;30
10;6;2;10;12;49;15;15;46;15;18;13;3;19;31;15;7;29
11;6;1;10;12;49;15;15;47;15;18;14;3;19;32;15;7;28
12;6;0;15;12;49;15;15;48;15;18;15;3;19;33;15;7;27
13;5;59;15;12;49;15;15;49;15;18;16;3;19;34;15;7;26
14;5;58;15;12;48;15;15;50;15;18;17;3;19;35;15;7;24
15;5;57;15;12;48;15;15;50;15;18;18;3;19;36;15;7;23
16;5;56;15;12;48;15;15;51;15;18;19;3;19;37;15;7;22
17;5;55;15;12;48;15;15;52;15;18;20;3;19;38;15;7;21
18;5;54;15;12;48;15;15;53;15;18;21;3;19;39;15;7;20
19;5;53;15;12;48;15;15;53;15;18;22;3;19;40;15;7;19
20;5;52;15;12;48;15;15;54;15;18;23;3;19;41;15;7;17
21;5;51;15;12;48;15;15;55;15;18;24;3;19;42;15;7;16
22;5;50;15;12;48;15;15;55;15;18;25;3;19;43;15;7;15
23;5;49;15;12;48;15;15;56;15;18;26;3;19;43;15;7;14
24;5;47;15;12;48;15;15;57;15;18;27;3;19;44;15;7;13
25;5;46;15;12;47;15;15;58;15;18;28;3;19;45;15;7;11
26;5;45;15;12;47;15;15;58;15;18;29;3;19;46;15;7;10
27;5;44;15;12;47;15;15;59;15;18;30;3;19;47;15;7;9
28;5;42;15;12;47;15;15;59;15;18;31;3;19;48;15;7;7
29;5;41;15;12;47;15;16;0;15;18;32;3;19;49;15;7;6
