jour;h_sobh;min_sobh;att_sobh;h_dohr;min_dohr;att_dohr;h_asr;min_asr;att_asr;h_maghreb;min_maghreb;att_maghreb;h_icha;min_icha;att_icha;h_chourouk;min_chourouk
1;5;30;15;12;18;15;15;16;15;17;42;3;19;1;15;6;57
2;5;31;15;12;18;15;15;15;15;17;41;3;19;0;15;6;58
3;5;32;15;12;18;15;15;14;15;17;40;3;18;59;15;6;59
4;5;33;15;12;18;15;15;13;15;17;39;3;18;58;15;7;0
5;5;33;15;12;18;15;15;12;15;17;38;3;18;58;15;7;1
6;5;34;15;12;18;15;15;12;15;17;37;3;18;57;15;7;2
7;5;35;15;12;18;15;15;11;15;17;36;3;18;56;15;7;3
8;5;36;15;12;18;15;15;10;15;17;35;3;18;55;15;7;4
9;5;37;15;12;18;15;15;10;15;17;34;3;18;55;15;7;5
10;5;38;15;12;18;15;15;9;15;17;33;3;18;54;15;7;6
11;5;39;15;12;18;15;15;8;15;17;32;3;18;53;15;7;7
12;5;40;15;12;18;15;15;8;15;17;32;3;18;52;15;7;8
13;5;41;15;12;18;15;15;7;15;17;31;3;18;52;15;7;9
14;5;42;15;12;19;15;15;6;15;17;30;3;18;51;15;7;10
15;5;42;15;12;19;15;15;6;15;17;29;3;18;51;15;7;11
16;5;43;15;12;19;15;15;5;15;17;29;3;18;50;15;7;12
17;5;44;15;12;19;15;15;5;15;17;28;3;18;50;15;7;13
18;5;45;15;12;19;15;15;4;15;17;27;3;18;49;15;7;14
19;5;46;15;12;20;15;15;4;15;17;27;3;18;49;15;7;15
20;5;47;15;12;20;15;15;3;15;17;26;3;18;48;15;7;16
21;5;48;15;12;20;15;15;3;15;17;26;3;18;48;15;7;17
22;5;49;15;12;20;15;15;3;15;17;25;3;18;48;15;7;18
23;5;49;15;12;21;15;15;2;15;17;25;3;18;47;15;7;19
24;5;50;15;12;21;15;15;2;15;17;24;3;18;47;15;7;20
25;5;51;15;12;21;15;15;2;15;17;24;3;18;47;15;7;21
26;5;52;15;12;21;15;15;2;15;17;24;3;18;46;15;7;22
27;5;53;15;12;22;15;15;1;15;17;23;3;18;46;15;7;23
28;5;54;15;12;22;15;15;1;15;17;23;3;18;46;15;7;24
29;5;55;15;12;22;15;15;1;15;17;23;3;18;46;15;7;25
30;5;55;15;12;23;15;15;1;15;17;22;3;18;46;15;7;26
