jour;h_sobh;min_sobh;att_sobh;h_dohr;min_dohr;att_dohr;h_asr;min_asr;att_asr;h_maghreb;min_maghreb;att_maghreb;h_icha;min_icha;att_icha;h_chourouk;min_chourouk
1;4;2;15;12;41;15;16;29;15;19;42;3;21;13;10;5;41
2;4;4;15;12;41;15;16;29;15;19;41;3;21;12;10;5;42
3;4;5;15;12;40;15;16;29;15;19;41;3;21;11;10;5;43
4;4;5;15;12;40;15;16;28;15;19;41;3;21;9;10;5;44
5;4;6;15;12;40;15;16;28;15;19;39;3;21;8;10;5;44
6;4;7;15;12;40;15;16;28;15;19;38;3;21;7;10;5;45
7;4;9;15;12;40;15;16;27;15;19;37;3;21;5;10;5;46
8;4;10;15;12;40;15;16;27;15;19;36;3;21;4;10;5;47
9;4;11;15;12;40;15;16;26;15;19;35;3;21;2;10;5;48
10;4;12;15;12;40;15;16;26;15;19;34;3;21;1;10;5;49
11;4;13;15;12;39;15;16;26;15;19;33;3;20;59;15;5;49
12;4;15;15;12;39;15;16;25;15;19;32;3;20;58;15;5;50
13;4;16;15;12;39;15;16;25;15;19;31;3;20;56;15;5;51
14;4;17;15;12;39;15;16;24;15;19;29;3;20;55;15;5;52
15;4;18;15;12;39;15;16;24;15;19;28;3;20;53;15;5;53
16;4;19;15;12;38;15;16;23;15;19;27;3;20;52;15;5;53
17;4;20;15;12;38;15;16;23;15;19;26;3;20;50;15;5;54
18;4;22;15;12;38;15;16;22;15;19;24;3;20;49;15;5;55
19;4;23;15;12;38;15;16;22;15;19;23;3;20;47;15;5;56
20;4;24;15;12;38;15;16;21;15;19;22;3;20;45;15;5;57
21;4;25;15;12;37;15;16;20;15;19;20;3;20;44;15;5;58
22;4;26;15;12;37;15;16;20;15;19;19;3;20;42;15;5;58
23;4;27;15;12;37;15;16;19;15;19;18;3;20;41;15;5;59
24;4;28;15;12;37;15;16;18;15;19;16;3;20;39;15;6;0
25;4;30;15;12;36;15;16;18;15;19;15;3;20;37;15;6;1
26;4;31;15;12;36;15;16;17;15;19;14;3;20;36;15;6;2
27;4;32;15;12;36;15;16;16;15;19;12;3;20;34;15;6;2
28;4;33;15;12;35;15;16;16;15;19;11;3;20;32;15;6;3
29;4;34;15;12;35;15;16;15;15;19;10;3;20;31;15;6;4
30;4;35;15;12;35;15;16;14;15;19;8;3;20;29;15;6;5
31;4;36;15;12;34;15;16;13;15;19;9;3;20;27;15;6;6
