jour;h_sobh;min_sobh;att_sobh;h_dohr;min_dohr;att_dohr;h_asr;min_asr;att_asr;h_maghreb;min_maghreb;att_maghreb;h_icha;min_icha;att_icha;h_chourouk;min_chourouk
1;5;5;15;12;24;15;16;45;15;18;20;3;19;38;15;6;31
2;5;5;15;12;23;15;16;44;15;18;19;3;19;37;15;6;32
3;5;6;15;12;23;15;16;44;15;18;19;3;19;36;15;6;32
4;5;7;15;12;23;15;16;43;15;18;17;3;19;35;15;6;33
5;5;7;15;12;23;15;16;42;15;18;16;3;19;33;15;6;34
6;5;8;15;12;23;15;16;41;15;18;14;3;19;32;15;6;34
7;5;9;15;12;22;15;16;40;15;18;13;3;19;30;15;6;35
8;5;10;15;12;22;15;16;39;15;18;11;3;19;29;15;6;36
9;5;11;15;12;22;15;16;38;15;18;11;3;19;28;15;6;37
10;5;12;15;12;21;15;16;37;15;18;9;3;19;26;15;6;38
11;5;13;15;12;21;15;16;36;15;18;8;3;19;25;15;6;39
12;5;14;15;12;21;15;16;35;15;18;7;3;19;23;15;6;40
13;5;14;15;12;21;15;16;34;15;18;5;3;19;22;15;6;40
14;5;15;15;12;20;15;16;33;15;18;4;3;19;21;15;6;41
15;5;15;15;12;20;15;16;32;15;18;2;3;19;20;15;6;41
16;5;16;15;12;20;15;16;30;15;18;1;3;19;19;15;6;42
17;5;17;15;12;20;15;15;29;15;18;0;3;19;18;15;6;43
18;5;18;15;12;19;15;15;28;15;17;58;3;19;17;15;6;44
19;5;19;15;12;19;15;15;27;15;17;57;3;19;15;15;6;45
20;5;19;15;12;19;15;15;26;15;17;56;3;19;14;15;6;46
21;5;20;15;12;19;15;15;26;15;17;55;3;19;13;15;6;47
22;5;21;15;12;19;15;15;25;15;17;53;3;19;12;15;6;48
23;5;22;15;12;19;15;15;24;15;17;52;3;19;11;15;6;49
24;5;23;15;12;18;15;15;23;15;17;51;3;19;9;15;6;50
25;5;24;15;12;18;15;15;22;15;17;50;3;19;8;15;6;51
26;5;25;15;12;18;15;15;21;15;17;48;3;19;7;15;6;52
27;5;26;15;12;18;15;15;20;15;17;47;3;19;6;15;6;53
28;5;26;15;12;18;15;15;19;15;17;46;3;19;5;15;6;54
29;5;27;15;12;18;15;15;18;15;17;45;3;19;4;15;6;55
30;5;28;15;12;18;15;15;17;15;17;44;3;19;3;15;6;55
31;5;29;15;12;18;15;15;16;15;17;43;3;19;2;15;6;56
