jour;h_sobh;min_sobh;att_sobh;h_dohr;min_dohr;att_dohr;h_asr;min_asr;att_asr;h_maghreb;min_maghreb;att_maghreb;h_icha;min_icha;att_icha;h_chourouk;min_chourouk
1;4;37;15;12;34;15;16;13;15;19;5;3;20;26;15;6;6
2;4;38;15;12;34;15;16;12;15;19;4;3;20;24;15;6;7
3;4;38;15;12;34;15;16;12;15;19;2;3;20;23;15;6;8
4;4;39;15;12;33;15;16;11;15;19;1;3;20;22;15;6;9
5;4;40;15;12;33;15;16;10;15;18;59;3;20;20;15;6;10
6;4;41;15;12;32;15;16;10;15;18;58;3;20;19;15;6;10
7;4;42;15;12;32;15;16;9;15;18;56;3;20;17;15;6;11
8;4;43;15;12;32;15;16;8;15;18;55;3;20;15;15;6;12
9;4;44;15;12;31;15;16;7;15;18;53;3;20;14;15;6;13
10;4;45;15;12;31;15;16;6;15;18;52;3;20;12;15;6;14
11;4;46;15;12;31;15;16;5;15;18;50;3;20;10;15;6;14
12;4;47;15;12;30;15;16;4;15;18;49;3;20;9;15;6;15
13;4;48;15;12;30;15;16;3;15;18;47;3;20;7;15;6;16
14;4;49;15;12;30;15;16;2;15;18;46;3;20;5;15;6;17
15;4;50;15;12;29;15;16;1;15;18;44;3;20;4;15;6;18
16;4;51;15;12;29;15;16;0;15;18;43;3;20;2;15;6;18
17;4;52;15;12;29;15;15;59;15;18;41;3;20;0;15;6;19
18;4;53;15;12;28;15;15;59;15;18;40;3;19;59;15;6;20
19;4;54;15;12;28;15;15;58;15;18;38;3;19;57;15;6;21
20;4;55;15;12;28;15;15;57;15;18;37;3;19;55;15;6;22
21;4;56;15;12;27;15;15;56;15;18;35;3;19;54;15;6;22
22;4;57;15;12;27;15;15;55;15;18;34;3;19;52;15;6;23
23;4;57;15;12;27;15;15;54;15;18;32;3;19;51;15;6;24
24;4;58;15;12;26;15;15;53;15;18;31;3;19;49;15;6;25
25;4;59;15;12;26;15;15;51;15;18;29;3;19;47;15;6;26
26;5;0;15;12;25;15;15;50;15;18;28;3;19;46;15;6;27
27;5;1;15;12;25;15;15;49;15;18;26;3;19;44;15;6;27
28;5;2;15;12;25;15;15;48;15;18;25;3;19;43;15;6;28
29;5;3;15;12;24;15;15;47;15;18;23;3;19;41;15;6;29
30;5;4;15;12;24;15;15;46;15;18;22;3;19;40;15;6;30
