jour;h_sobh;min_sobh;att_sobh;h_dohr;min_dohr;att_dohr;h_asr;min_asr;att_asr;h_maghreb;min_maghreb;att_maghreb;h_icha;min_icha;att_icha;h_chourouk;min_chourouk
1;6;14;10;12;38;15;15;11;15;17;32;3;18;57;15;7;47
2;6;15;10;12;38;15;15;12;15;17;33;3;18;58;15;7;47
3;6;15;10;12;39;15;15;13;15;17;34;3;18;58;15;7;47
4;6;15;10;12;39;15;15;14;15;17;35;3;18;59;15;7;47
5;6;15;10;12;39;15;15;14;15;17;36;3;19;0;15;7;47
6;6;15;10;12;40;15;15;15;15;17;36;3;19;1;15;7;47
7;6;15;10;12;40;15;15;16;15;17;37;3;19;1;15;7;47
8;6;15;10;12;41;15;15;17;15;17;38;3;19;2;15;7;47
9;6;15;10;12;41;15;15;18;15;17;39;3;19;3;15;7;47
10;6;15;10;12;42;15;15;19;15;17;40;3;19;4;15;7;47
11;6;15;10;12;42;15;15;19;15;17;41;3;19;5;15;7;47
12;6;15;10;12;42;15;15;20;15;17;42;3;19;5;15;7;47
13;6;15;10;12;43;15;15;21;15;17;43;3;19;6;15;7;47
14;6;15;10;12;43;15;15;22;15;17;44;3;19;7;15;7;47
15;6;15;10;12;44;15;15;23;15;17;45;3;19;8;15;7;46
16;6;15;10;12;44;15;15;24;15;17;46;3;19;9;15;7;46
17;6;15;10;12;44;15;15;25;15;17;47;3;19;10;15;7;46
18;6;14;10;12;45;15;15;26;15;17;48;3;19;11;15;7;45
19;6;14;10;12;45;15;15;27;15;17;49;3;19;12;15;7;45
20;6;14;10;12;45;15;15;28;15;17;50;3;19;13;15;7;44
21;6;14;10;12;45;15;15;28;15;17;51;3;19;13;15;7;44
22;6;13;10;12;46;15;15;29;15;17;52;3;19;14;15;7;43
23;6;13;10;12;46;15;15;30;15;17;53;3;19;15;15;7;43
24;6;13;10;12;46;15;15;31;15;17;54;3;19;16;15;7;42
25;6;12;10;12;46;15;15;32;15;17;55;3;19;17;15;7;42
26;6;12;10;12;47;15;15;33;15;17;57;3;19;18;15;7;41
27;6;11;10;12;47;15;15;34;15;17;58;3;19;19;15;7;41
28;6;11;10;12;47;15;15;35;15;17;59;3;19;20;15;7;40
29;6;10;10;12;47;15;15;36;15;18;0;3;19;21;15;7;39
30;6;9;10;12;47;15;15;37;15;18;1;3;19;22;15;7;38
31;6;9;10;12;48;15;15;38;15;18;2;3;19;23;15;7;37
