jour;h_sobh;min_sobh;att_sobh;h_dohr;min_dohr;att_dohr;h_asr;min_asr;att_asr;h_maghreb;min_maghreb;att_maghreb;h_icha;min_icha;att_icha;h_chourouk;min_chourouk
1;5;40;15;12;47;15;16;1;15;18;33;3;19;50;15;7;5
2;5;38;15;12;46;15;16;1;15;18;34;3;19;51;15;7;3
3;5;37;15;12;46;15;16;2;15;18;35;3;19;52;15;7;2
4;5;36;15;12;46;15;16;2;15;18;36;3;19;53;15;7;0
5;5;34;15;12;46;15;16;3;15;18;37;3;19;54;15;6;59
6;5;33;15;12;45;15;16;3;15;18;38;3;19;55;15;6;58
7;5;31;15;12;45;15;16;4;15;18;39;3;19;56;15;6;56
8;5;30;15;12;45;15;16;4;15;18;40;3;19;57;15;6;55
9;5;29;15;12;45;15;16;5;15;18;41;3;19;57;15;6;53
10;5;27;15;12;44;15;16;5;15;18;40;3;19;58;15;6;53
11;5;26;15;12;44;15;16;6;15;18;41;3;19;59;15;6;52
12;5;24;15;12;44;15;16;6;15;18;42;3;20;0;15;6;50
13;5;23;15;12;44;15;16;7;15;18;43;3;20;1;15;6;49
14;5;21;15;12;43;15;16;7;15;18;44;3;21;26;3;6;47
15;5;20;15;12;43;15;16;8;15;18;45;3;20;3;15;6;46
16;5;18;15;12;43;15;16;8;15;18;46;3;20;4;15;6;44
17;5;17;15;12;42;15;16;8;15;18;47;3;20;5;15;6;43
18;5;15;15;12;42;15;16;9;15;18;48;3;20;6;15;6;41
19;5;13;15;12;42;15;16;9;15;18;49;3;20;7;15;6;40
20;5;12;15;12;42;15;16;10;15;18;49;3;20;8;15;6;38
21;5;10;15;12;41;15;16;10;15;18;50;3;20;9;15;6;37
22;5;9;15;12;41;15;16;10;15;18;51;3;20;10;15;6;35
23;5;7;15;12;41;15;16;11;15;18;52;3;20;11;15;6;34
24;5;5;15;12;40;15;16;11;15;18;53;3;20;12;15;6;32
25;5;4;15;12;40;15;16;11;15;18;54;3;20;13;15;6;31
26;5;2;15;12;40;15;16;12;15;18;55;3;20;14;15;6;30
27;5;1;15;12;39;15;16;12;15;18;56;3;20;15;15;6;28
28;4;59;15;12;39;15;16;12;15;18;56;3;20;16;15;6;27
29;4;57;15;12;39;15;16;13;15;18;57;3;20;17;15;6;25
30;4;56;15;12;39;15;16;13;15;18;58;3;20;18;15;6;24
31;4;54;15;12;38;15;16;13;15;18;59;3;20;19;15;6;22
