jour;h_sobh;min_sobh;att_sobh;h_dohr;min_dohr;att_dohr;h_asr;min_asr;att_asr;h_maghreb;min_maghreb;att_maghreb;h_icha;min_icha;att_icha;h_chourouk;min_chourouk
1;5;56;15;12;23;15;15;1;15;17;22;3;18;46;15;7;27
2;5;57;15;12;24;15;15;1;15;17;22;3;18;46;15;7;28
3;5;58;15;12;24;15;15;1;15;17;22;3;18;46;15;7;29
4;5;59;15;12;24;15;15;1;15;17;22;3;18;46;15;7;30
5;5;59;15;12;25;15;15;1;15;17;22;3;18;46;15;7;31
6;6;0;15;12;25;15;15;1;15;17;22;3;18;46;15;7;31
7;6;1;10;12;26;15;15;1;15;17;22;3;18;46;15;7;32
8;6;2;10;12;26;15;15;1;15;17;22;3;18;46;15;7;33
9;6;2;10;12;26;15;15;1;15;17;22;3;18;46;15;7;34
10;6;3;10;12;27;15;15;1;15;17;22;3;18;46;15;7;35
11;6;4;10;12;27;15;15;1;15;17;22;3;18;47;15;7;35
12;6;5;10;12;28;15;15;1;15;17;22;3;18;47;15;7;36
13;6;5;10;12;28;15;15;2;15;17;23;3;18;47;15;7;37
14;6;6;10;12;29;15;15;2;15;17;23;3;18;47;15;7;38
15;6;7;10;12;29;15;15;2;15;17;23;3;18;48;15;7;38
16;6;7;10;12;30;15;15;3;15;17;23;3;18;48;15;7;39
17;6;8;10;12;30;15;15;3;15;17;24;3;18;48;15;7;40
18;6;8;10;12;31;15;15;3;15;17;24;3;18;49;15;7;40
19;6;9;10;12;31;15;15;4;15;17;25;3;18;49;15;7;41
20;6;10;10;12;32;15;15;4;15;17;25;3;18;50;15;7;41
21;6;10;10;12;32;15;15;5;15;17;25;3;18;50;15;7;42
22;6;11;10;12;33;15;15;5;15;17;26;3;18;51;15;7;43
23;6;11;10;12;33;15;15;6;15;17;26;3;18;51;15;7;43
24;6;11;10;12;34;15;15;6;15;17;27;3;18;52;15;7;43
25;6;12;10;12;34;15;15;7;15;17;28;3;18;52;15;7;44
26;6;12;10;12;35;15;15;7;15;17;28;3;18;53;15;7;44
27;6;13;10;12;35;15;15;8;15;17;29;3;18;53;15;7;45
28;6;13;10;12;36;15;15;9;15;17;29;3;18;54;15;7;45
29;6;13;10;12;36;15;15;9;15;17;30;3;18;55;15;7;45
30;6;14;10;12;37;15;15;10;15;17;31;3;18;55;15;7;45
31;6;14;10;12;37;15;15;11;15;17;32;3;18;56;15;7;46
